code,name,buy_date,n_in_profile,sim_at_t0,hit_t0,hit_t0_5d,max_sim_pm5d,note
082920,비츠로셀,2025-01-02,12759,0.833,True,True,0.833,
277810,레인보우로보틱스,2025-01-03,12760,0.222,False,True,0.944,
042660,한화오션,2025-01-17,12761,0.444,False,True,0.722,
064350,현대로템,2025-02-06,12762,0.5,True,True,0.667,
008830,대동기어,2025-02-07,12763,0.556,True,True,0.778,
012450,한화에어로스페이스,2025-02-11,12764,0.333,False,True,0.722,
000880,한화,2025-02-12,12765,0.444,False,True,0.889,
003310,대주산업,2025-02-28,12766,0.611,True,True,0.833,
092790,넥스틸,2025-03-04,12767,0.278,False,True,0.833,
048430,유라테크,2025-04-03,12768,0.556,True,True,0.889,
053800,안랩,2025-04-04,12769,0.389,False,True,0.833,
084690,대상홀딩스,2025-04-04,12769,0.556,True,True,0.889,
013990,아가방컴퍼니,2025-04-04,12769,0.389,False,True,0.889,
003310,대주산업,2025-04-04,12769,0.667,True,True,0.944,
090080,평화산업,2025-04-04,12769,0.5,True,True,0.833,
017800,현대엘리베이터,2025-04-11,12774,0.889,True,True,0.889,
293580,나우IB캐피탈,2025-04-18,12775,0.167,False,True,0.889,
038110,에코플라스틱,2025-04-22,12776,0.5,True,True,0.833,
011390,부산산업,2025-04-29,12777,0.667,True,True,0.778,
180640,한진칼,2025-05-12,12778,0.667,True,True,0.889,
000880,한화,2025-05-27,12779,0.556,True,True,0.667,
039490,키움증권,2025-05-29,12780,0.833,True,True,0.833,
402030,코난테크놀로지,2025-06-04,12781,0.389,False,True,0.722,
007110,일신석재,2025-06-05,12782,0.333,False,True,1.0,
035720,카카오,2025-06-09,12783,0.333,False,True,0.833,
060370,LS마린솔루션,2025-06-09,12783,0.333,False,True,1.0,
029780,삼성카드,2025-06-09,12783,0.833,True,True,0.833,
060250,NHN KCP,2025-06-09,12783,0.444,False,True,0.722,
103140,풍산,2025-06-10,12787,0.389,False,True,0.722,
036000,예림당,2025-06-11,12788,0.278,False,True,0.611,
039420,케이엘넷,2025-06-11,12788,0.5,True,True,0.667,
002320,한진중공업,2025-06-12,12790,0.722,True,True,0.778,
052690,한전기술,2025-06-12,12790,0.278,False,True,0.833,
032820,우리기술,2025-06-16,12792,0.222,False,True,0.833,
251120,바이오에프디엔씨,2025-06-18,12793,0.778,True,True,0.778,
035420,NAVER,2025-06-18,12793,0.333,False,True,0.722,
060250,NHN KCP,2025-06-18,12793,0.333,False,True,0.722,
034020,두산에너빌리티,2025-10-10,12796,0.5,True,True,0.667,
130660,한전산업,2026-02-04,12797,0.333,False,True,0.778,
