month,n_in_profile,n_signals,ret_30,ret_60,ret_90,ret_120,win_30,win_60,win_90,win_120,note
2021-01,0,0,,,,,,,,,profile<50
2021-02,0,0,,,,,,,,,profile<50
2021-03,0,0,,,,,,,,,profile<50
2021-04,0,0,,,,,,,,,profile<50
2021-05,17,0,,,,,,,,,profile<50
2021-06,275,5093,0.0249673669963787,0.02269930827302342,0.01582936316682322,0.00030040045917974646,0.4411937954054585,0.3944629884154722,0.3508737482819556,0.31396033771843707,
2021-07,491,1327,0.0006289588578664042,-0.00942507719825863,0.034954938194076295,0.029737286422662147,0.3443858327053504,0.3180105501130369,0.31348907309721175,0.35041446872645066,
2021-08,681,862,0.0012016350367235423,-0.043247119525110754,-0.03258537421414227,-0.09821752445612124,0.4037122969837587,0.3004640371229698,0.314385150812065,0.2494199535962877,
2021-09,937,1838,-0.02499336507840718,-0.05719666827073728,-0.07472410433055976,-0.09520192534977076,0.3405875952121872,0.25571273122959737,0.2622415669205658,0.22633297062023938,
2021-10,1091,765,-0.039058311881531,-0.05752642279848358,-0.08290782730990999,-0.021085268003912794,0.2627450980392157,0.27320261437908494,0.2326797385620915,0.36209150326797385,
2021-11,1368,1768,0.012933599427981666,-0.07979659515324723,-0.02301003237235899,-0.05358535779750829,0.4502262443438914,0.22794117647058823,0.32805429864253394,0.3195701357466063,
2021-12,1645,4974,-0.060529974641259594,-0.05345667698181472,-0.03202489413348522,-0.09976022990069677,0.2378367511057499,0.28769601930036187,0.3606755126658625,0.24547647768395658,
2022-01,1861,0,,,,,,,,,no_signals
2022-02,2000,442,0.058574672007857986,0.012789852612044968,-0.1072322880964858,-0.04008428495272787,0.6900452488687783,0.4502262443438914,0.2398190045248869,0.3438914027149321,
2022-03,2303,4613,-0.007005961987969953,-0.10169659490368148,-0.09469509083703385,-0.10214333643618335,0.433340559288966,0.23325384782137437,0.23260351181443745,0.23477129850422718,
2022-04,2531,1898,-0.04317582242845326,-0.15384482350879394,-0.0830736230203827,-0.19578313600612798,0.2966280295047418,0.13593256059009484,0.2428872497365648,0.13856691253951528,
2022-05,2648,1673,-0.1426102803162057,-0.05766355274314075,-0.18930936630215045,-0.09101883579660974,0.09563658099222953,0.2582187686790197,0.11356843992827256,0.21159593544530783,
2022-06,2751,1734,-0.1235377989995774,-0.06653148890961298,-0.17277864261209122,-0.08763029296724525,0.08996539792387544,0.24452133794694347,0.13264129181084197,0.23183391003460208,
2022-07,2991,3846,0.029921571614355782,-0.08505842451154035,-0.002143635766522733,-0.009655538193759684,0.49791991679667186,0.22360894435777431,0.39417576703068125,0.38143525741029644,
2022-08,3298,6122,-0.08741963961762501,-0.08192565003855082,-0.0660500239030539,-0.015919571223314402,0.2107154524665142,0.23456386801698792,0.29810519438092126,0.38304475661548515,
2022-09,3468,0,,,,,,,,,no_signals
2022-10,3580,2987,0.07742155019264826,0.07751490228296294,0.14150904411928056,0.2357903848676713,0.7803816538332775,0.6739203213927017,0.713759625041848,0.7254770672915969,
2022-11,3934,9391,-0.005118176461201476,0.06521096600328924,0.09505143913493624,0.1270815327042215,0.43137046107975724,0.5952507720157598,0.543925034607603,0.5928016185709722,
2022-12,4184,473,-0.027837347691943314,0.03581645218163648,0.10660906019646982,0.09070948782500414,0.3044397463002114,0.4693446088794926,0.5792811839323467,0.5200845665961945,
2023-01,4313,6823,0.05538784978922827,0.13501408608141308,0.15085889837510663,0.22625276889357301,0.557086325663198,0.5976843030924813,0.6192290781181299,0.5802432947383849,
2023-02,4632,5590,0.017295236494003226,0.05148270401027822,0.12281844052660586,0.17156719950939475,0.39803220035778175,0.4960644007155635,0.5711985688729875,0.5153846153846153,
2023-03,4941,3882,0.035899309546092405,0.08903035575394126,0.1398254428129447,0.14219910718650586,0.5455950540958269,0.5816589386913962,0.5378670788253478,0.5321998969603298,
2023-04,5525,7157,0.010045417178219145,0.059480798156224424,0.07735468165062565,0.025738173688954383,0.4950398211541149,0.48302361324577336,0.44641609612966326,0.39332122397652647,
2023-05,5817,3695,0.03908022233650292,0.04992340876954871,0.01597730160823254,0.04498764218462877,0.45548037889039245,0.40487144790257107,0.3848443843031123,0.44005412719891746,
2023-06,6126,5520,0.03615974464645837,0.054292032442869245,-0.03603727880254902,0.037082773513313794,0.4157608695652174,0.41503623188405797,0.3090579710144927,0.43768115942028984,
2023-07,6483,5728,0.01872308565136115,-0.06060447606996545,-0.0002825929811198817,0.023800748867785625,0.4481494413407821,0.31424581005586594,0.4444832402234637,0.4547835195530726,
2023-08,6961,2038,-0.017922131364167274,-0.050522495989731755,0.006003359714924975,0.033625020996016074,0.4052993130520118,0.36261040235525027,0.46172718351324826,0.4887144259077527,
2023-09,7320,4411,-0.08037191643166668,-0.015209479867182683,-0.0007941312336878245,0.07409131107460841,0.23169349353888008,0.4513715710723192,0.41487191113126276,0.5248243028791657,
2023-10,7450,0,,,,,,,,,no_signals
2023-11,7673,7676,0.055618444332902105,0.09227002355166047,0.14024394861293146,0.19105903194837262,0.594450234497134,0.6083897863470558,0.616597186034393,0.6250651380927567,
2023-12,8086,8246,0.00712834382541826,0.08448128072804473,0.10562814111226201,0.16240094428881902,0.4370603929177783,0.5756730536017463,0.552752849866602,0.5688818821246665,
2024-01,8389,1789,0.032540385726089804,0.07419026818000184,0.1273256848920677,0.14362298085231995,0.5075461151481274,0.5701509223029626,0.5623253214086081,0.5271101173840134,
2024-02,8764,7981,0.04107499945124093,0.09026344288580397,0.12139749227538363,0.048315037779561004,0.4887858664327778,0.5301340684124797,0.5058263375516853,0.4553314121037464,
2024-03,9201,7739,0.027242726713772206,0.0863474076389419,0.055085811942338594,0.016260029865514544,0.4414006977645691,0.47460912262566224,0.44747383382866,0.4470861868458457,
2024-04,9537,1952,0.05068367965686298,0.05004618121163247,-0.015929087590707033,-0.0026941085264200726,0.48924180327868855,0.46875,0.39395491803278687,0.4180327868852459,
2024-05,9949,6296,0.021533462041249094,-0.03971993175549936,-0.03381420615248945,-0.05421034164509483,0.4326556543837357,0.35403430749682335,0.37309402795425667,0.3518106734434562,
2024-06,10295,5460,-0.042870547262985205,-0.06900070837363964,-0.053951974575514004,-0.09665409526757582,0.34413919413919414,0.36721611721611724,0.36153846153846153,0.3355311355311355,
2024-07,10562,4733,-0.04694182893268977,-0.042268792190424745,-0.09589354219213089,-0.07193723156106864,0.34967251214874284,0.36594126346925837,0.32622015634903867,0.33467145573631946,
2024-08,10736,3322,-0.003922292239324405,-0.057465794054336286,-0.030661494062128602,0.0535834936183536,0.4283564118001204,0.3299217338952438,0.3473810957254666,0.46718844069837445,
2024-09,11133,1881,-0.040167517159107935,-0.061714343139686885,0.007083416750547166,0.0011565560709791223,0.3258904837852206,0.3168527379053695,0.39766081871345027,0.3822434875066454,
2024-10,11405,3763,-0.06639211494201895,-0.020267877889191765,0.054551693050965876,-0.03070959460500179,0.29099123040127556,0.35955354770130216,0.46957214988041457,0.34865798564974754,
2024-11,11586,707,0.03557119377652868,0.13080115941737827,0.02812481746153873,0.18550705310977753,0.49222065063649223,0.6407355021216408,0.4073550212164074,0.6124469589816125,
2024-12,11912,2134,0.04521891641460709,0.10509389990003074,0.10305851111602166,0.3079098336623637,0.4943767572633552,0.6016869728209935,0.5754451733833177,0.7483598875351453,
2025-01,12759,7590,0.06780702733086003,0.0028944993949982963,0.16849697658669316,0.32456578887511467,0.6201581027667984,0.4197628458498024,0.6308300395256917,0.7582345191040843,
2025-02,12762,8064,-0.050244801325616595,0.033952202115336165,0.22287543560955908,0.23814246631030034,0.3168402777777778,0.49851190476190477,0.6865079365079365,0.7126736111111112,
2025-03,12767,3650,0.006247195347499216,0.20307038087077828,0.24375138014645042,0.33748493657535295,0.4515068493150685,0.6852054794520548,0.7391780821917808,0.7775342465753424,
2025-04,12768,3307,0.1853292791615905,0.273051253150722,0.2976858402487862,0.45835286020368476,0.8022376776534623,0.8448745086180829,0.8206833988509223,0.8584820078621107,
2025-05,12778,8444,0.17589141837319028,0.1789646559689274,0.29586650822125016,0.3873598196678497,0.8229512079583136,0.7841070582662245,0.802344860255803,0.7922785409758408,
2025-06,12781,9690,0.07021441690845491,0.12136141074564227,0.2534833505743337,0.3138509134268987,0.6560371517027864,0.6669762641898865,0.7061919504643963,0.7208462332301342,
2025-07,12796,10866,0.008477968001775246,0.12986753168011278,0.2024876357005603,0.31770623426498495,0.417264862875023,0.5605558623228419,0.6192711209276642,0.6485367200441745,
2025-08,12796,4080,0.10618650276831605,0.18685433585183175,0.25772870731169434,0.5841907402189461,0.6235294117647059,0.6639705882352941,0.6825980392156863,0.8120098039215686,
2025-09,12796,8934,0.10284263374496166,0.1583696378429597,0.4092673830020184,0.5620925299610654,0.6057756883814641,0.6464069845533915,0.7782628162077457,0.7689724647414372,
2025-10,12796,8754,0.05154051341065467,0.1680860532738995,0.43270408151936535,0.5631529528878068,0.555631711217729,0.6477039067854695,0.793922778158556,0.8070596298834818,
2025-11,12797,4750,0.037292448706843825,0.284566342129165,0.3844381570943305,0.6352396471376549,0.512421052631579,0.7928421052631579,0.7473684210526316,0.8111578947368421,
2025-12,12797,7824,0.16912730909644877,0.30378569778296016,0.5331526841813905,,0.7152351738241309,0.720219836400818,0.7917944785276073,,
2026-01,12797,10224,0.19597119610229102,0.308102590700986,,,0.7257433489827856,0.73268779342723,,,
2026-02,12797,8707,0.019606855213635976,0.2772871357256859,,,0.3861261054324107,0.644927536231884,,,
2026-03,12798,2342,0.14621219284249326,,,,0.6498719043552519,,,,
2026-04,12798,8223,,,,,,,,,
2026-05,12798,4066,,,,,,,,,
