variant,hold,n,win_rate,mean_ret,median_ret,std_ret,avg_win,avg_loss,profit_factor,expectancy,sharpe,mdd,total_ret
v3.0 기준,10,6320,0.4433544303797468,0.0077240554688998726,-0.01617779480288547,0.15491279228320076,0.12701638519579658,-0.08728933506400649,1.1589664375850655,0.007724055468899864,0.7915135831862581,-0.9932078265684615,134.46010551705493
v3.0 기준,30,6260,0.4130990415335463,0.01703972355113416,-0.037444225910132134,0.2658860646948933,0.2230311272091211,-0.12795041522392142,1.2269112489495537,0.01703972355113416,1.017342619531213,-0.9999915449812874,8420.164076415735
v3.0 기준,60,6153,0.40695595644401106,0.0324603272737822,-0.04727083333333334,0.37336755841789626,0.313865975149119,-0.1606445623616915,1.3407217958793527,0.03246032727378219,1.3801191588167472,-0.9999999989772962,58582129.60919894
v3.0 기준,90,6073,0.41182282232833856,0.04190849472196136,-0.05927009646302251,0.4403919293076497,0.37182723043298627,-0.18909003775655858,1.376812450690074,0.04190849472196137,1.5106469598072185,-0.9999999999989089,2757205573.2424874
v3.1 +KOSPI 20일선,10,3613,0.4528092997508995,0.010422087520699432,-0.012876543209876544,0.14658963898405344,0.12465837805961207,-0.08411032083623589,1.226447076695501,0.010422087520699404,1.1286303143806797,-0.8906490186859191,240.50323779371186
v3.1 +KOSPI 20일선,30,3553,0.4309034618632142,0.023996712745292133,-0.02820045819014891,0.25965852728072913,0.2186137459583123,-0.12336168381708859,1.3418105950824868,0.023996712745292137,1.4670652615646018,-0.9858585800578811,45076.95449813168
v3.1 +KOSPI 20일선,60,3508,0.4201824401368301,0.039970196464468005,-0.04180156749700306,0.3741116188706363,0.312750025961242,-0.15770800839209292,1.4371104323368142,0.039970196464468005,1.6960371348842245,-0.9999779508354676,9504870.5119127
v3.1 +KOSPI 20일선,90,3463,0.4354605833092694,0.05784018028111853,-0.04670121683453034,0.4483427431888919,0.37519096115076866,-0.1869500895661615,1.5480367601093206,0.057840180281118495,2.047951953755719,-0.9999950392425875,27701974616.64581
v3.2 +시장+과열회피,10,3531,0.4432172189181535,0.007051902517663767,-0.014363636363636363,0.1337494389174841,0.1117514533558489,-0.07629234827672066,1.166012015244891,0.007051902517663765,0.8369790774129205,-0.940614373535085,23.35463413574891
v3.2 +시장+과열회피,30,3471,0.4226447709593777,0.016777840271626942,-0.028,0.23647479841065566,0.19099702848804065,-0.11075686487481962,1.2623749072344952,0.016777840271626945,1.1262931997955103,-0.9994288710501786,857.8824406079475
v3.2 +시장+과열회피,60,3428,0.411610268378063,0.029980795543708617,-0.038592119757423965,0.3283514598786605,0.27812577779917913,-0.1436099679478476,1.354808064540631,0.029980795543708624,1.449454115035868,-0.9999966955366156,49432.61076985414
v3.2 +시장+과열회피,90,3383,0.4360035471475022,0.049368554338927007,-0.03905514316012726,0.4020816221994086,0.3361714284100184,-0.17234750397074788,1.507889271783602,0.04936855433892705,1.949110481395761,-0.9999982549727636,229376341.0371494
v3.6 +KOSPI 60일선,10,3924,0.46075433231396534,0.015964582884960186,-0.010308171621862205,0.1547384504227683,0.13195119779995093,-0.08313929224089202,1.3560939443784528,0.015964582884960193,1.6377952338186699,-0.7840850661128096,27803.041540751357
v3.6 +KOSPI 60일선,30,3864,0.44073498964803315,0.03274516494439829,-0.025639641213815595,0.2646010619322722,0.23013310702528178,-0.12280859042984725,1.4767610708913728,0.0327451649443983,1.9645173556750908,-0.9894844622957608,78955791.77202465
v3.6 +KOSPI 60일선,60,3766,0.44423791821561337,0.06206711573624023,-0.02797253318288446,0.38251728820770403,0.3272015178852614,-0.1498630585567901,1.7452089456557867,0.0620671157362402,2.5757918592791267,-0.9997503174314646,278220583821542.4
v3.6 +KOSPI 60일선,90,3686,0.46446011937059145,0.08294742030106787,-0.027274205171354406,0.44788529764362867,0.38346139370765936,-0.17768070658448662,1.8717075224599842,0.08294742030106791,2.9399256528254276,-0.9998352055948381,7.218596140498523e+18
